Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
53,Marine 84,157.225,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
54,Marine 85,157.275,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
55,Marine 86,157.325,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
56,Marine 87,157.375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
57,Marine 88,157.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
58,Padalci 1,147.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
59,Padalci 2,147.25,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
60,Padalci 3,148.05,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
61,Padalci 4,147.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
62,Padalci 5,147.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
63,Zmajarji,143.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
64,GRS 0,154.925,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
65,GRS 1,157.725,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
66,GRS 2,160.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
67,GRS 3,160.925,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
