Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
52,RV51 Kobla,145.6375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
53,RV51 Slemene,145.6375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
54,RV52 Trdinov Vrh,145.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
55,RV52 Kup,145.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
56,RV54 Korada,145.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
57,RV54 Urslja G.,145.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
58,RV54 Kranjska G.,145.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
59,RV55 Zagarski,145.6875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
60,RV56 Mrzlica,145.7,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
61,RV57 Pecna Reber,145.7125,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
62,RV58 Vojsko,145.725,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
63,RV58 Pohorje,145.725,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
64,RV58 Jesenice,145.725,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
65,RV59 Ormoz,145.7375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
66,RV60 Grmada,145.75,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
67,RV60 Karlovica,145.75,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
