No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataACK Disable,R5toneBot,R5ToneEot,Auto Scan,Ana Aprs Mute,Send Talker Alias,AnaAprsTxPath,ARC4,ex_emg_kind
26,145.5125 FM,145.5125,145.5125,A-Analog,Low,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,100,100,0,0,0,0,0,0
27,145.525 FM,145.525,145.525,A-Analog,Low,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,2,0,Off,0,1,0,100,100,0,0,0,0,0,0
28,145.5375 FM,145.5375,145.5375,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,2,0,Off,0,1,0,0,0,0,0,0,0,0,0
29,145.550 FM,145.55,145.55,A-Analog,Low,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,100,100,0,0,0,0,0,0
30,145.5625 FM,145.5625,145.5625,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,100,100,0,0,0,0,0,0
31,433.400 FM,433.4,433.4,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,0,0,0,0,0,0,0,0
32,433.4125 FM,433.4125,433.4125,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,0,0,0,0,0,0,0,0
33,433.425 FM,433.425,433.425,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,0,0,0,0,0,0,0,0
34,433.4375 FM,433.4375,433.4375,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,0,0,0,0,0,0,0,0
35,433.450 FM,433.45,433.45,A-Analog,High,25K,Off,Off,TG 9 LOKAL TS2,Group Call,9,YOUR_CALL_SIGN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,Off,Off,Off,1,0,Off,0,1,0,0,0,0,0,0,0,0,0
